id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.196154,0.245046,1.87587,
1,sat_10pipe,0.276032,0.48088,0.514088,
2,sat_10pipe_p,0.193899,0.315905,0.397185,
3,sat_11pipe_d,3.57075,0.0,17.24,
4,sat_11pipe,0.51255,1.13776,0.0,
5,sat_11pipe_p,0.554027,0.881214,1.18315,
6,sat_11pipe_kd,0.292329,0.364295,2.77641,
7,sat_11pipe_k,0.341243,0.645654,0.706412,
8,sat_11pipe_kp,0.220791,0.359593,0.573456,
9,sat_6s10_d,0.0319557,0.0442992,0.0544639,
10,sat_6s10,0.0173716,0.0228102,0.0510145,
11,sat_6s10_p,0.0183557,0.0318014,0.0406914,
12,sat_6s11_d,0.0365472,0.0449216,0.0503619,
13,sat_6s11,0.0174497,0.0347826,0.0486574,
14,sat_6s11_p,0.0231711,0.02928,0.0442274,
15,sat_6s12_d,0.0334935,0.0469236,0.0572291,
16,sat_6s12,0.0129918,0.0304332,0.0390519,
17,sat_6s12_p,0.0215756,0.0282097,0.0419064,
18,sat_130_d,0.0315591,0.0447004,0.0613468,
19,sat_130,0.0130692,0.0385743,0.0387645,
20,sat_130_p,0.0124116,0.0348582,0.0474544,
21,sat_131_d,0.0386845,0.0481746,0.0683264,
22,sat_131,0.026126,0.0388805,0.0510408,
23,sat_131_p,0.0228742,0.0351453,0.0529065,
24,sat_133_d,0.0350159,0.050268,0.0600583,
25,sat_133,0.0210696,0.0329159,0.0516472,
26,sat_133_p,0.0234479,0.0289009,0.0511305,
27,sat_153_d,0.033345,0.0512282,0.0817671,
28,sat_153,0.0175613,0.0359186,0.0487919,
29,sat_153_p,0.0169526,0.0323456,0.0526106,
30,sat_16_d,0.0317078,0.0404567,0.0578688,
31,sat_16,0.0203188,0.0292187,0.0465076,
32,sat_16_p,0.0191003,0.026289,0.0402949,
33,sat_184_d,0.0345112,0.0467492,0.0576405,
34,sat_184,0.0152762,0.0342662,0.0367581,
35,sat_184_p,0.0143034,0.0223291,0.0394311,
36,sat_9_d,0.0407803,0.0528438,0.0582746,
37,sat_9,0.0122114,0.0322558,0.043603,
38,sat_9_p,0.0179175,0.0368909,0.0427599,
39,sat_9dlx_d,0.568354,0.587092,0.609237,
40,sat_9dlx,0.1053,0.224822,0.256165,
41,sat_9dlx_p,0.0864566,0.142192,0.220239,
42,sat_bug7,0.0,0.0,0.0,
43,sat_bug8_d,0.0,0.0,0.0,
44,sat_bug8,0.0,0.0,0.0,
45,sat_bug8_p,0.0,0.0,0.0,
46,sat_aaai_d,0.0152339,0.0338812,0.0330682,
47,sat_aaai,0.0268264,0.0557039,0.0685927,
48,sat_aaai_p,0.0257741,0.0488673,0.0630883,
49,sat_ACG_10p_d,0.0469312,0.0791555,0.115353,
50,sat_ACG_10p,0.0894089,0.164025,0.230986,
51,sat_ACG_10p_p,0.0859535,0.159924,0.223454,
52,sat_ACG_5p0_d,0.046114,0.0965545,0.105749,
53,sat_ACG_5p0,0.0822453,0.155364,0.204573,
54,sat_ACG_5p0_p,0.0769947,0.145505,0.1999,
