id,dataset,k=2,k=3,k=4,hedges
0,sat_10pipe_d,24972.0,29414.0,47316.0,77639
1,sat_10pipe,82830.0,149040.0,177254.0,2082017
2,sat_10pipe_p,62837.0,155027.0,188246.0,2082017
3,sat_11pipe_d,46720.0,64659.0,77565.0,89315
4,sat_11pipe,58611.0,294492.0,535413.0,5584003
5,sat_11pipe_p,214473.0,426479.0,724173.0,5584003
6,sat_11pipe_kd,26616.0,45294.0,53207.0,104244
7,sat_11pipe_k,76563.0,192111.0,174243.0,3007883
8,sat_11pipe_kp,186481.0,211575.0,305101.0,3007883
9,sat_6s10_d,838.0,1624.0,1716.0,33900
10,sat_6s10,2836.0,6376.0,6370.0,99184
11,sat_6s10_p,5493.0,6421.0,8566.0,99184
12,sat_6s11_d,1553.0,1359.0,2658.0,33276
13,sat_6s11,4430.0,6349.0,7652.0,97312
14,sat_6s11_p,5713.0,6413.0,10282.0,97312
15,sat_6s12_d,1150.0,1791.0,2403.0,34033
16,sat_6s12,5055.0,6616.0,8624.0,99580
17,sat_6s12_p,5248.0,6512.0,8254.0,99580
18,sat_130_d,756.0,975.0,1560.0,49327
19,sat_130,1895.0,5061.0,5950.0,144361
20,sat_130_p,4020.0,5624.0,7679.0,144361
21,sat_131_d,860.0,1325.0,1979.0,49282
22,sat_131,2600.0,5306.0,8663.0,144226
23,sat_131_p,5196.0,3535.0,10446.0,144226
24,sat_133_d,766.0,1448.0,1433.0,48215
25,sat_133,2233.0,4910.0,6483.0,140968
26,sat_133_p,4060.0,5559.0,7915.0,140968
27,sat_153_d,94.0,415.0,458.0,85646
28,sat_153,269.0,1015.0,1141.0,245440
29,sat_153_p,769.0,1658.0,2013.0,245440
30,sat_16_d,948.0,1334.0,2371.0,31483
31,sat_16,4582.0,5642.0,8441.0,91888
32,sat_16_p,6366.0,7933.0,10504.0,91888
33,sat_184_d,992.0,2276.0,2452.0,33365
34,sat_184,3010.0,7768.0,8874.0,97516
35,sat_184_p,5928.0,9046.0,8931.0,97516
36,sat_9_d,657.0,1678.0,2372.0,34317
37,sat_9,5197.0,5739.0,9003.0,100384
38,sat_9_p,4779.0,6748.0,7408.0,100384
39,sat_9dlx_d,14628.0,16754.0,22934.0,69789
40,sat_9dlx,37022.0,112841.0,119020.0,968295
41,sat_9dlx_p,67958.0,139615.0,140837.0,968295
42,sat_bug7,367093.0,836271.0,1309366.0,13378010
43,sat_bug8_d,73590.0,119370.0,167256.0,521179
44,sat_bug8,354839.0,695726.0,1091739.0,13378617
45,sat_bug8_p,421481.0,1483872.0,1983845.0,13378617
46,sat_aaai_d,1906.0,3866.0,4177.0,53919
47,sat_aaai,6058.0,5958.0,8409.0,308235
48,sat_aaai_p,4583.0,6687.0,8554.0,308235
